,이름,평점,리뷰 개수,가격,사이트
0,G-21 / Gangnam-Station / Private Room / Twin Beds,4.68,37,24954,AirBnb
1,크레토더블(7월~8월  14시 무료 체크아웃 연장),4.8,59,71250,AirBnb
2,[Sinsa station] 1min walk Modern private room,4.8,10,55454,AirBnb
3,[1min stn!] Seolleung Rin’s house with Netflix,4.74,31,103211,AirBnb
4,"[Capsule Hotel#3] The Stay Simple, Central Gangnam",4.32,133,23106,AirBnb
5,[여성 전용] 역삼역 그리고 고양이 두마리 (=ↀωↀ=),4.84,70,49678,AirBnb
6,[UHGRO #N23] Perfect house for group in Gangnam,4.14,14,56032,AirBnb
7,Central Rooftop Double Room @Gangnam by Grammos,4.66,85,104000,AirBnb
8,NEW SALE:❤of Myeong-dong明洞- Double w/ private bath,4.49,49,39280,AirBnb
9,"[여성전용 개인실] 신축 투룸 빌라 건대입구,구의역과 가까운 숙소",4.25,8,25463,AirBnb
10,Gangnam H Residence,3.85,110,26965,AirBnb
11,"STUDIO, Gangnam #3 SUPER CLEAN OPEN SALE 집전체 大きな割引",4.7,54,34659,AirBnb
12,"BARUNE 03 : Itaewon,Haebangchon",5.0,6,72783,AirBnb
13,CheongDam Modern Style Apartment,4.94,33,39858,AirBnb
14,강남 역삼동 게스트하우스 싱글룸 #307,4.65,43,19440,AirBnb
15,"Cloud room(개인실), 신사역 인근 3호선 도보 3분 게스트하우스",4.67,9,51988,AirBnb
16,푸통 한남 _202 (한남오거리/한남역 도보 3분),4.81,16,26910,AirBnb
17,[방역완료]여성전용💗comfortable for you💗안전하고 편안한 머무름,4.34,180,30038,AirBnb
18,"[#1I, YOKI] Special  Offer (25%~38% off ), 매일소독",4.82,33,86520,AirBnb
19,G-31 / Gangnam-Station / Private Room / Twin Beds,4.0,5,26803,AirBnb
20,푸통 한남 _204 (한남오거리/한남역 도보 3분),4.63,41,26910,AirBnb
21,쾌적하고 조용한 가성비 좋은 원룸텔 #개별욕실 #복도방3,4.91,76,17330,AirBnb
22,Estudio Moderno: MODU,4.22,100,78560,AirBnb
23,"[Capsule Hotel#2] The Stay Simple, Central Gangnam",4.67,3,23106,AirBnb
24,韓国ソウル close to Jamsil Rotte Mall in seoul,4.21,53,16174,AirBnb
25,#1/강남역 12번 1분 거리/쾌적하고 넓은복층원룸/전문 청소업체 고용/파티허용/청소비X,3.73,15,102821,AirBnb
26,Gangnam Moxen House,4.8,15,23106,AirBnb
27,E-11 / Eonju Station / Private Room / Standard Bed,4.73,45,21026,AirBnb
28,CENTER  A,4.5,20,17330,AirBnb
29,"[Female Only 女性专用] 역삼역 5분,가성비 최고 yeoksam sta. 5min",4.71,97,17330,AirBnb
30,(방역완료)2020 safe space Sinsa Garosugil,4.49,41,86301,AirBnb
31,(WOMEN ROOM)*Best for Solo*Capsule room in Seoul,4.7,27,17100,AirBnb
32,스탠다드#체크아웃무료연장 #스몰하우스빅도어 #3D프린팅,4.38,26,68000,AirBnb
33,Single House_Shared toilet room2,4.75,28,18485,AirBnb
34,빈방 7호점 _Itaewon station in 6mn,4.0,8,95890,AirBnb
35,"신논현역 3분! 모던&깔끔 풀옵션 신논현,강남 숙소 / 객실내 개인샤워,화장실,냉장고 완비",5.0,3,33503,AirBnb
36,[Sinsa station/Gangnam] Spaciou Twin modern room,4.27,85,60075,AirBnb
37,"♥NEW OPEN♥ 아늑한  감성유닛 T5  in 명동 (방역완료, 살균ing)",4.12,136,59576,AirBnb
38,[Capsule Hotel] The Stay Simple#Private in Gangnam,4.7,54,23106,AirBnb
39,[Myeong-dong] Merlin Hotel Double / N-Tower View,4.55,38,36970,AirBnb
40,"BARUNE 03 : Itaewon,Haebangchon",4.96,27,72783,AirBnb
41,신논현 먹자골목에 위치한 프라이빗 스튜디오,4.0,8,70473,AirBnb
42,"Entire studio, Prime Location in Garosugil Gangnam",4.45,20,93613,AirBnb
43,"신논현역 3분! 모던&깔끔 풀옵션 신논현,강남 숙소 / 객실내 개인샤워,화장실,냉장고 완비",4.8,15,33503,AirBnb
44,New Sale  Onjung  in Kangnam Cozy and comfortable,5.0,3,123592,AirBnb
